Id,Designator,Package,Quantity,Designation,Supplier and ref,Column1,_1
1,G***,MoreE,1,LOGO,,,
2,SV2,PinHeader_1x05_P2.54mm_Vertical,1,UART,,,
3,"JP1,JP2",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,2,SolderJumper_3_Bridged12,,,
4,"MAN_ON1,!RESET1,!BOOT1",SW_Push_1P1T_NO_CK_KMR2,3,SW_Push_KMR2,,,
5,"L2,L1",L_Taiyo-Yuden_NRH30xx,2,NRH3010T100MNV,,,
6,"C1,C2,C3,C9",C_0805_2012Metric,4,100n,,,
7,"C4,C5",C_0805_2012Metric,2,1uF,,,
8,"C6,C7,C8,C10",C_0805_2012Metric,4,10uF,,,
9,IC1,NINAW102,1,NINA-W102,,,
10,IC2,SOT-23-6,1,TPL5110QDDCRQ1,,,
11,J1,PinHeader_1x02_P2.54mm_Vertical,1,61300211121,,,
12,LED1,LED_D5.0mm-4_RGB,1,CLEAR,,,
13,AEM10941,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,AEM10941,,,
14,Q1,SOT-323_SC-70,1,BSS84W-7-F,,,
15,"R1,R2",R_0805_2012Metric,2,1M,,,
16,"R3,R4,R8,R9,R10",R_0805_2012Metric,5,10K,,,
17,"R5,R6,R7",R_0805_2012Metric,3,1K,,,
18,R11,R_0805_2012Metric,1,124K,,,
19,R12,R_0805_2012Metric,1,169K,,,
20,R13,R_0805_2012Metric,1,30K,,,
21,Sleep_Conf1,SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm,1,Sleep Conf,,,
22,SUPERCAP1,SCMT22C505PRBA0,1,SCMT22C505PRBA0,,,
23,Flash_Conf1,PinHeader_2x03_P2.54mm_Vertical,1,SV1,,,
24,U1,DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm,1,HTU21D,,,
25,U2,SOT-23-5,1,HT7830,,,
